"File","Operation","Tables","Columns","PrimaryTable","AliasedColumns","Sql"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","UPDATE","capa_cases","actions;assigned_to_id;component_id;corrective_action;date_close;date_open;description;digital_signature;doc_file;preventive_action;priority;reason;root_cause;status;title","capa_cases",,"UPDATE capa_cases SET title=@t, description=@d, component_id=@cid, date_open=@open, date_close=@close, assigned_to_id=@assn, priority=@prio, status=@status, root_cause=@rc, corrective_action=@corr, preventive_action=@prev, reason=@reason, actions=@acts, doc_file=@doc, digital_signature=@sig WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Capa.Cases.Extensions.cs","DELETE","capa_cases","","capa_cases",,"DELETE FROM capa_cases WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ComponentOverloads.cs","INSERT","machine_components","code;install_date;last_modified_by_id;machine_id;name;sop_doc;status;type","machine_components",,"INSERT INTO machine_components (machine_id, code, name, type, sop_doc, status, install_date, last_modified_by_id) VALUES (@mid,@code,@name,@type,@sop,@status,@install,@modby)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ComponentOverloads.cs","UPDATE","machine_components","code;install_date;last_modified_by_id;machine_id;name;sop_doc;status;type","machine_components",,"UPDATE machine_components SET machine_id=@mid, code=@code, name=@name, type=@type, sop_doc=@sop, status=@status, install_date=@install, last_modified_by_id=@modby WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ComponentOverloads.cs","INSERT","machine_components","code;install_date;last_modified_by_id;machine_id;name;sop_doc;status;type","machine_components",,"INSERT INTO machine_components (machine_id, code, name, type, sop_doc, status, install_date, last_modified_by_id) VALUES (@mid,@code,@name,@type,@sop,@status,@install,@modby)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ComponentOverloads.cs","UPDATE","machine_components","code;install_date;last_modified_by_id;machine_id;name;sop_doc;status;type","machine_components",,"UPDATE machine_components SET machine_id=@mid, code=@code, name=@name, type=@type, sop_doc=@sop, status=@status, install_date=@install, last_modified_by_id=@modby WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ComponentOverloads.cs","DELETE","machine_components","","machine_components",,"DELETE FROM machine_components WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ComponentOverloads.cs","DELETE","machine_components","","machine_components",,"DELETE FROM machine_components WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Components.QueryExtensions.cs","SELECT","machine_components","*","machine_components","System.Collections.Hashtable","SELECT * FROM machine_components ORDER BY id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Components.QueryExtensions.cs","SELECT","machine_components","*","machine_components","System.Collections.Hashtable","SELECT * FROM machine_components WHERE id=@id LIMIT 1"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Components.QueryExtensions.cs","SELECT","machine_components","*","machine_components","System.Collections.Hashtable","SELECT * FROM machine_components ORDER BY id DESC"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.Components.QueryExtensions.cs","SELECT","machine_components","*","machine_components","System.Collections.Hashtable","SELECT * FROM machine_components WHERE id=@id LIMIT 1"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","SELECT","contractor_interventions","*","contractor_interventions","System.Collections.Hashtable","SELECT * FROM contractor_interventions ORDER BY intervention_date DESC, id DESC;"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","SELECT","contractor_intervention_audit","action;description;device_info;id;intervention_id;session_id;source_ip;timestamp;user_id","contractor_intervention_audit","System.Collections.Hashtable","SELECT id, intervention_id, user_id, action, description, timestamp, source_ip, device_info, session_id FROM contractor_intervention_audit WHERE intervention_id=@id ORDER BY timestamp DESC, id DESC;"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","INSERT","contractor_interventions","component_id;contractor_id;doc_file;gmp_compliance;intervention_date;reason;result","contractor_interventions",,"INSERT INTO contractor_interventions (contractor_id, component_id, intervention_date, reason, result, gmp_compliance, doc_file) VALUES (@cid,@comp,@date,@reason,@result,@gmp,@doc)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","UPDATE","contractor_interventions","component_id;contractor_id;doc_file;gmp_compliance;intervention_date;reason;result","contractor_interventions",,"UPDATE contractor_interventions SET contractor_id=@cid, component_id=@comp, intervention_date=@date, reason=@reason, result=@result, gmp_compliance=@gmp, doc_file=@doc WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","INSERT","contractor_intervention_audit","action;description;device_info;intervention_id;session_id;source_ip;timestamp;user_id","contractor_intervention_audit",,"INSERT INTO contractor_intervention_audit (intervention_id, user_id, action, description, timestamp, source_ip, device_info, session_id) VALUES (@iid,@uid,@act,@desc,NOW(),@ip,@dev,@sid);"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","SELECT","contractor_interventions","*","contractor_interventions","System.Collections.Hashtable","SELECT * FROM contractor_interventions ORDER BY intervention_date DESC, id DESC;"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","SELECT","contractor_intervention_audit","action;description;device_info;id;intervention_id;session_id;source_ip;timestamp;user_id","contractor_intervention_audit","System.Collections.Hashtable","SELECT id, intervention_id, user_id, action, description, timestamp, source_ip, device_info, session_id FROM contractor_intervention_audit WHERE intervention_id=@id ORDER BY timestamp DESC, id DESC;"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","INSERT","contractor_interventions","component_id;contractor_id;doc_file;gmp_compliance;intervention_date;reason;result","contractor_interventions",,"INSERT INTO contractor_interventions (contractor_id, component_id, intervention_date, reason, result, gmp_compliance, doc_file) VALUES (@cid,@comp,@date,@reason,@result,@gmp,@doc)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","UPDATE","contractor_interventions","component_id;contractor_id;doc_file;gmp_compliance;intervention_date;reason;result","contractor_interventions",,"UPDATE contractor_interventions SET contractor_id=@cid, component_id=@comp, intervention_date=@date, reason=@reason, result=@result, gmp_compliance=@gmp, doc_file=@doc WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","DELETE","contractor_interventions","","contractor_interventions",,"DELETE FROM contractor_interventions WHERE id=@id;"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.ContractorInterventions.Extensions.cs","INSERT","contractor_intervention_audit","action;description;device_info;intervention_id;session_id;source_ip;timestamp;user_id","contractor_intervention_audit",,"INSERT INTO contractor_intervention_audit (intervention_id, user_id, action, description, timestamp, source_ip, device_info, session_id) VALUES (@iid,@uid,@act,@desc,NOW(),@ip,@dev,@sid);"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.cs","INSERT","system_event_log","description;device_info;event_type;field_name;new_value;old_value;record_id;related_module;session_id;severity;source_ip;table_name;user_id","system_event_log",,"INSERT INTO system_event_log (user_id, event_type, table_name, related_module, record_id, field_name, old_value, new_value, description, source_ip, device_info, session_id, severity) VALUES (@uid, @etype, @table, @module, @rid, @field, @old, @new, @desc, @ip, @dev, @sid, @sev);"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.cs","INSERT","system_event_log","description;event_type;record_id;related_module;severity;source_ip;table_name;user_id","system_event_log",,"INSERT INTO system_event_log (user_id, event_type, table_name, related_module, record_id, description, source_ip, severity) VALUES (@uid, @etype, @table, @module, @rid, @desc, @ip, @sev);"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.cs","INSERT","system_event_log","description;device_info;event_type;field_name;new_value;old_value;record_id;related_module;session_id;severity;source_ip;table_name;user_id","system_event_log",,"INSERT INTO system_event_log (user_id, event_type, table_name, related_module, record_id, field_name, old_value, new_value, description, source_ip, device_info, session_id, severity) VALUES (@uid, @etype, @table, @module, @rid, @field, @old, @new, @desc, @ip, @dev, @sid, @sev);"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.cs","INSERT","system_event_log","description;event_type;record_id;related_module;severity;source_ip;table_name;user_id","system_event_log",,"INSERT INTO system_event_log (user_id, event_type, table_name, related_module, record_id, description, source_ip, severity) VALUES (@uid, @etype, @table, @module, @rid, @desc, @ip, @sev);"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.DeviationAudit.Extensions.cs","INSERT","deviation_audit","action;ai_anomaly_score;approval_status;approval_time;approved_by;changed_at;comment;created_at;deleted;deleted_at;deleted_by;details;deviation_id;device_info;digital_signature;export_status;export_time;exported_by;iot_event_id;new_value;old_value;regulatory_status;related_file;related_photo;restoration_reference;restored_from_snapshot;session_id;signature_type;signature_valid;source_ip;updated_at;user_id;validated","deviation_audit",,"INSERT INTO deviation_audit (deviation_id, user_id, action, details, changed_at, device_info, source_ip, session_id, digital_signature, regulatory_status, ai_anomaly_score, validated, comment, old_value, new_value, signature_type, signature_valid, export_status, export_time, exported_by, restored_from_snapshot, restoration_reference, approval_status, approval_time, approved_by, deleted, deleted_at, deleted_by, created_at, updated_at, related_file, related_photo, iot_event_id) VALUES (@dev,@uid,@act,@det,@chg,@devinfo,@ip,@sid,@sig,@reg,@ais,@val,@com,@old,@new,@sigtype,@sigok,@expst,@exptm,@expby,@restored,@restref,@apprst,@apprtm,@apprby,@del,@delat,@delby,NOW(),NOW(),@rfile,@rphoto,@iot)"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.DeviationAudit.Extensions.cs","UPDATE","deviation_audit","action;ai_anomaly_score;approval_status;approval_time;approved_by;changed_at;comment;deleted;deleted_at;deleted_by;details;deviation_id;device_info;digital_signature;export_status;export_time;exported_by;iot_event_id;new_value;old_value;regulatory_status;related_file;related_photo;restoration_reference;restored_from_snapshot;session_id;signature_type;signature_valid;source_ip;updated_at;user_id;validated","deviation_audit",,"UPDATE deviation_audit SET deviation_id=@dev, user_id=@uid, action=@act, details=@det, changed_at=@chg, device_info=@devinfo, source_ip=@ip, session_id=@sid, digital_signature=@sig, regulatory_status=@reg, ai_anomaly_score=@ais, validated=@val, comment=@com, old_value=@old, new_value=@new, signature_type=@sigtype, signature_valid=@sigok, export_status=@expst, export_time=@exptm, exported_by=@expby, restored_from_snapshot=@restored, restoration_reference=@restref, approval_status=@apprst, approval_time=@apprtm, approved_by=@apprby, deleted=@del, deleted_at=@delat, deleted_by=@delby, updated_at=NOW(), related_file=@rfile, related_photo=@rphoto, iot_event_id=@iot WHERE id=@id"
"C:\GitHub\YASGMP\YASGMP\Services\DatabaseService.DeviationAudit.Extensions.cs","INSERT","deviation_audit","action;ai_anomaly_score;approval_status;approval_time;approved_by;changed_at;comment;created_at;deleted;deleted_at;deleted_by;details;deviation_id;device_info;digital_signature;export_status;export_time;exported_by;iot_event_id;new_value;old_value;regulatory_status;related_file;related_photo;restoration_reference;restored_from_snapshot;session_id;signature_type;signature_valid;source_ip;updated_at;user_id;validated","deviation_audit",,"INSERT INTO deviation_audit (deviation_id, user_id, action, details, changed_at, device_info, source_ip, session_id, digital_signature, regulatory_status, ai_anomaly_score, validated, comment, old_value, new_value, signature_type, signature_valid, export_status, export_time, exported_by, restored_from_snapshot, restoration_reference, approval_status, approval_time, approved_by, deleted, deleted_at, deleted_by, created_at, updated_at, related_file, related_photo, iot_event_id) VALUES (@dev,@uid,@act,@det,@chg,@devinfo,@ip,@sid,@sig,@reg,@ais,@val,@com,@old,@new,@sigtype,@sigok,@expst,@exptm,@expby,@restored,@restref,@apprst,@apprtm,@apprby,@del,@delat,@delby,NOW(),NOW(),@rfile,@rphoto,@iot)"
